"Year","NUTS2","NUTS0","GDP_MIO_EUR","TotPopNr","Area"
2011,"DEC0","DE",33542.4083769634,1001879,2595.67776533525
2012,"DE50","DE",29611.2820512821,652182,455.329492667883
2012,"DE60","DE",100530.256410256,1718187,558.328742930618
2012,"DE72","DE",30526.1538461538,1025525,5140.16814589596
2012,"DE40","DE",60505.641025641,2453180,30985.6211798311
2012,"DE27","DE",62649.2307692308,1783119,9835.00303805169
2012,"DE73","DE",38153.8461538462,1204635,8548.09835207423
2012,"DE26","DE",45978.4615384615,1299076,7977.74620267623
2012,"DE30","DE",112728.205128205,3326002,832.395982639715
2012,"DE71","DE",175444.102564103,3763611,7452.81954332157
2012,"DEB2","DE",14134.358974359,518370,4489.90920432874
2012,"DE11","DE",178283.076923077,3924922,10664.6013481317
2012,"DEG0","DE",52935.3846153846,2181603,16104.6675902456
2012,"DE80","DE",37651.2820512821,1606899,23582.9547920544
2012,"DE12","DE",106484.102564103,2671524,6741.23287393259
2012,"DEE0","DE",55610.2564102564,2276736,20857.4155701618
2012,"DE24","DE",33876.9230769231,1061573,7247.05078710998
2012,"DEB3","DE",67500.5128205128,1991497,7052.99545185579
2012,"DEF0","DE",81884.1025641026,2802266,15062.0656250025
2012,"DED5","DE",27438.9743589744,971030,3759.39594115679
2012,"DE91","DE",57200,1575968,8078.1523065869
2012,"DE13","DE",72711.7948717949,2150906,9471.33534069007
2012,"DE23","DE",38583.5897435897,1072091,9548.20481079293
2012,"DE25","DE",65161.0256410256,1688414,7317.5092816671
2012,"DEC0","DE",33104.6153846154,997855,2595.67776533525
2012,"DED4","DE",35890.2564102564,1491442,6788.53297520088
2012,"DEB1","DE",44235.8974358974,1480166,8166.17633365739
2012,"DE92","DE",71251.282051282,2093431,9298.79427989597
2012,"DE14","DE",66817.4358974359,1765089,9437.46150677023
2012,"DEA4","DE",67809.2307692308,2027126,6599.07947396329
2012,"DE93","DE",42235.8974358974,1667127,15276.1521564281
2012,"DED2","DE",40793.8461538462,1591710,7684.41570393648
2012,"DEA5","DE",111557.948717949,3569424,7938.42481803626
2012,"DE94","DE",77018.4615384615,2437727,14468.069322659
2012,"DE22","DE",39853.3333333333,1175923,10362.4333280335
2012,"DE21","DE",220578.461538462,4363176,17052.9796199813
2012,"DEA1","DE",192253.333333333,5077103,5328.37377509059
2012,"DEA3","DE",77709.7435897436,2572221,7090.37154620825
2012,"DEA2","DE",162292.307692308,4299064,7529.72416260013
2013,"DE60","DE",103356.205852674,1734272,558.328742930618
2013,"DE50","DE",29514.6316851665,654774,455.329492667883
2013,"DE71","DE",177231.079717457,3791381,7452.81954332157
2013,"DE40","DE",61306.7608476287,2449511,30985.6211798311
2013,"DED4","DE",35621.5943491423,1480210,6788.53297520088
2013,"DE72","DE",30548.9404641776,1023277,5140.16814589596
2013,"DEA5","DE",111459.132189707,3559551,7938.42481803626
2013,"DED5","DE",27952.5731584258,978674,3759.39594115679
2013,"DEA4","DE",68873.8647830474,2025415,6599.07947396329
2013,"DEB1","DE",44538.8496468214,1476237,8166.17633365739
2013,"DED2","DE",41464.1775983855,1591320,7684.41570393648
2013,"DE23","DE",39114.0262361251,1074738,9548.20481079293
2013,"DE73","DE",38720.4843592331,1201823,8548.09835207423
2013,"DEE0","DE",55611.5035317861,2259393,20857.4155701618
2013,"DEG0","DE",54108.980827447,2170460,16104.6675902456
2013,"DE80","DE",38285.5701311806,1600327,23582.9547920544
